Test,Name,Dates,Periods,NetProfit,Comp,ROR,MaxDD,MAR,UI,Trades,PctWins,Expectancy,AvgWin,AvgLoss,WinLen,LossLen,ProfitFactor,Volatility,Sortino,AvgExp,MaxExp,AvgUse,MaxUse,ROR1y,ROR3y,ROR5y,ROR10y,ROR15y,MaxDD1,MaxDD2,MaxDD3,AvgDD,MedDD,AvgMAR,ClusterMAR,newStrat_LongTermLookback,newStrat_OneYearLookback,newStrat_atrLength,newStrat_atrTresh,newStrat_rankMA50,newStrat_rankMA200
0870,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$41333,True,4.95%,-16.33%,0.30,7.59,209,42.58%,1.83%,9.80%,4.08%,111.15,41.30,1.68,8.42%,0.93,86.03%,113.68%,86.54%,115.37%,19.65%,6.16%,1.58%,0.00%,0.00%,-16.33%,-14.88%,-10.53%,-5.79%,-4.35%,0.86,0.36,200,250,12,0.015,50,200
0871,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$253436,True,19.21%,-47.44%,0.41,24.38,160,37.50%,10.24%,52.79%,15.30%,155.03,65.56,1.93,33.74%,1.08,104.86%,146.46%,104.99%,148.61%,95.08%,24.95%,25.99%,0.00%,0.00%,-47.44%,-37.99%,-28.96%,-20.48%,-21.50%,0.94,0.50,175,200,12,0.05,50,200
0872,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$47966,True,5.67%,-50.83%,0.11,30.7,123,43.09%,4.84%,36.12%,18.84%,185.70,79.07,1.30,25.29%,0.51,99.68%,132.87%,99.85%,140.94%,73.81%,20.23%,5.57%,0.00%,0.00%,-50.83%,-32.03%,-18.70%,-26.38%,-29.07%,0.21,0.17,250,200,12,0.045,50,200
0873,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$13546,True,1.93%,-26.30%,0.07,13.43,227,43.61%,0.85%,11.92%,7.71%,98.91,43.85,1.14,12.71%,0.30,92.86%,117.73%,93.33%,119.10%,38.40%,11.44%,0.98%,0.00%,0.00%,-26.30%,-20.69%,-16.92%,-11.53%,-12.60%,0.17,0.09,150,225,12,0.025,50,200
0874,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$47966,True,5.67%,-50.83%,0.11,30.7,123,43.09%,4.84%,36.12%,18.84%,185.70,79.07,1.30,25.29%,0.51,99.68%,132.87%,99.85%,140.94%,73.81%,20.23%,5.57%,0.00%,0.00%,-50.83%,-32.03%,-18.70%,-26.38%,-29.07%,0.21,0.17,250,225,12,0.045,50,200
0875,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$118279,True,11.51%,-50.32%,0.23,28.02,118,44.92%,8.13%,39.82%,17.72%,196.26,81.89,1.66,29.83%,0.78,103.35%,133.68%,103.51%,142.17%,77.78%,21.14%,12.41%,0.00%,0.00%,-50.32%,-47.27%,-32.32%,-23.78%,-23.61%,0.48,0.27,250,250,11,0.05,50,200
0876,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1883,$74927,True,8.08%,-32.28%,0.25,14.15,148,39.86%,4.43%,30.59%,12.91%,158.15,71.87,1.40,22.98%,0.68,99.33%,130.96%,99.56%,136.04%,3.02%,1.00%,4.33%,0.00%,0.00%,-32.28%,-29.42%,-23.37%,-11.25%,-9.38%,0.72,0.29,200,150,12,0.04,50,200
0877,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$49594,True,5.70%,-27.35%,0.21,13.68,185,47.03%,2.84%,17.14%,9.84%,119.63,50.58,1.41,15.88%,0.65,94.77%,119.24%,95.14%,121.00%,37.16%,11.11%,3.05%,0.00%,0.00%,-27.35%,-26.34%,-23.01%,-11.23%,-11.42%,0.51,0.22,175,250,8,0.03,50,200
0878,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$83844,True,8.88%,-43.52%,0.20,24.46,130,46.15%,6.32%,33.66%,17.11%,167.87,78.33,1.56,24.97%,0.71,97.17%,131.57%,97.35%,133.46%,79.90%,21.62%,11.85%,0.00%,0.00%,-43.52%,-30.03%,-24.09%,-20.99%,-22.97%,0.42,0.27,225,225,11,0.045,50,200
0879,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$65208,True,7.28%,-47.76%,0.15,25.74,170,36.47%,4.30%,37.04%,14.50%,142.71,62.59,1.32,25.87%,0.61,101.19%,132.34%,101.36%,138.39%,57.49%,16.35%,12.71%,0.00%,0.00%,-47.76%,-27.16%,-22.00%,-21.99%,-24.59%,0.33,0.23,175,225,11,0.045,50,200
0880,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$69439,True,7.66%,-31.85%,0.24,13.31,162,43.83%,3.85%,24.53%,12.29%,142.42,61.91,1.38,20.75%,0.68,98.21%,134.69%,98.44%,137.15%,-0.09%,-0.03%,2.94%,0.00%,0.00%,-31.85%,-30.69%,-20.38%,-10.52%,-8.46%,0.73,0.28,175,225,11,0.04,50,200
0881,newStrat Backtest Stats,2019/01/01 - 2026/04/28,1884,$55950,True,6.29%,-32.97%,0.19,14.83,143,45.45%,3.51%,19.80%,10.06%,132.95,84.13,1.57,17.05%,0.67,96.12%,125.11%,96.45%,125.57%,37.09%,11.09%,4.50%,0.00%,0.00%,-32.97%,-27.28%,-26.67%,-11.78%,-10.60%,0.53,0.22,250,175,12,0.03,50,200
