Test,Name,Dates,Periods,NetProfit,Comp,ROR,MaxDD,MAR,UI,Trades,PctWins,Expectancy,AvgWin,AvgLoss,WinLen,LossLen,ProfitFactor,Volatility,Sortino,AvgExp,MaxExp,AvgUse,MaxUse,ROR1y,ROR3y,ROR5y,ROR10y,ROR15y,MaxDD1,MaxDD2,MaxDD3,AvgDD,MedDD,AvgMAR,ClusterMAR,newStrat_LongTermLookback,newStrat_OneYearLookback,newStrat_atrLength,newStrat_atrTresh,newStrat_rankMA50,newStrat_rankMA200
0503,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$61371123,True,28.03%,-27.12%,1.03,9.59,416,53.37%,21.07%,49.83%,11.85%,190.51,55.58,2.32,17.42%,2.39,96.94%,126.24%,97.05%,133.74%,14.27%,4.55%,8.41%,16.32%,10.61%,-27.12%,-26.37%,-24.43%,-6.77%,-4.34%,4.14,1.08,175,150,9,0.03,50,240
0502,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$61371123,True,28.03%,-27.12%,1.03,9.59,416,53.37%,21.07%,49.83%,11.85%,190.51,55.58,2.32,17.42%,2.39,96.94%,126.24%,97.05%,133.74%,14.27%,4.55%,8.41%,16.32%,10.61%,-27.12%,-26.37%,-24.43%,-6.77%,-4.34%,4.14,1.08,175,150,9,0.03,50,210
0501,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$61371123,True,28.03%,-27.12%,1.03,9.59,416,53.37%,21.07%,49.83%,11.85%,190.51,55.58,2.32,17.42%,2.39,96.94%,126.24%,97.05%,133.74%,14.27%,4.55%,8.41%,16.32%,10.61%,-27.12%,-26.37%,-24.43%,-6.77%,-4.34%,4.14,1.08,175,150,9,0.03,50,225
0500,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$67821667,True,28.52%,-28.98%,0.98,9.29,414,53.86%,21.10%,49.11%,11.62%,192.13,54.19,2.27,17.03%,2.50,97.04%,127.25%,97.14%,133.34%,12.11%,3.88%,8.96%,16.52%,10.73%,-28.98%,-27.54%,-26.99%,-6.44%,-3.98%,4.43,1.02,175,250,10,0.03,50,225
0499,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$61371123,True,28.03%,-27.12%,1.03,9.59,416,53.37%,21.07%,49.83%,11.85%,190.51,55.58,2.32,17.42%,2.39,96.94%,126.24%,97.05%,133.74%,14.27%,4.55%,8.41%,16.32%,10.61%,-27.12%,-26.37%,-24.43%,-6.77%,-4.34%,4.14,1.08,175,200,9,0.03,50,225
0498,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,$84275437,True,29.60%,-35.46%,0.83,12.14,478,51.88%,18.39%,44.26%,9.51%,166.78,52.46,2.90,16.82%,2.60,95.96%,125.10%,96.07%,129.66%,42.11%,12.43%,13.80%,20.44%,13.20%,-35.46%,-26.65%,-25.25%,-8.32%,-5.22%,3.56,1.02,150,200,9,0.03,50,225
0497,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$29254500,True,24.44%,-38.77%,0.63,12.21,374,51.60%,20.99%,52.93%,13.07%,208.80,65.14,2.33,17.22%,2.11,96.49%,125.87%,96.58%,135.43%,47.73%,13.89%,9.17%,11.94%,7.81%,-38.77%,-28.25%,-26.11%,-8.53%,-5.97%,2.86,0.79,200,225,9,0.03,50,225
0496,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$96158895,True,30.26%,-26.70%,1.13,8.54,404,53.71%,23.16%,52.81%,11.25%,197.63,55.38,2.47,17.24%,2.60,97.05%,127.25%,97.15%,133.51%,23.17%,7.19%,11.08%,18.26%,11.83%,-26.70%,-25.62%,-23.69%,-5.97%,-3.71%,5.07,1.19,175,225,11,0.03,50,225
0495,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,$96158895,True,30.26%,-26.70%,1.13,8.54,404,53.71%,23.16%,52.81%,11.25%,197.63,55.38,2.47,17.24%,2.60,97.05%,127.25%,97.15%,133.51%,23.17%,7.19%,11.08%,18.26%,11.83%,-26.70%,-25.62%,-23.69%,-5.97%,-3.71%,5.07,1.19,175,175,11,0.03,50,225
0494,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6724,$84275437,True,29.60%,-35.46%,0.83,12.14,478,51.88%,18.39%,44.26%,9.51%,166.78,52.46,2.90,16.82%,2.60,95.96%,125.10%,96.07%,129.66%,42.11%,12.43%,13.80%,20.44%,13.20%,-35.46%,-26.65%,-25.25%,-8.32%,-5.22%,3.56,1.02,150,175,9,0.03,52,225
