Test,Name,Dates,Periods,NetProfit,Comp,ROR,MaxDD,MAR,UI,Trades,PctWins,Expectancy,AvgWin,AvgLoss,WinLen,LossLen,ProfitFactor,Volatility,Sortino,AvgExp,MaxExp,AvgUse,MaxUse,ROR1y,ROR3y,ROR5y,ROR10y,ROR15y,MaxDD1,MaxDD2,MaxDD3,AvgDD,MedDD,AvgMAR,ClusterMAR,newStrat_LongTermLookback,newStrat_OneYearLookback,newStrat_atrLength,newStrat_atrTresh
0103,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 43176552,TRUE,26.33%,-46.01%,0.57,13.66,341,54.25%,24.28%,57.20%,14.77%,222.25,73.24,2.52,18.37%,2.12,96.77%,133.14%,96.82%,147.99%,64.22%,17.98%,13.89%,16.51%,10.72%,-46.01%,-27.58%,-27.55%,-9.46%,-6.20%,2.78,0.78,200,150,12,0.035
0133,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 49002118,TRUE,26.93%,-47.25%,0.57,13.48,351,50.14%,22.97%,60.66%,14.93%,232.03,69.53,2.6,20.20%,1.99,98.64%,128.71%,98.67%,144.92%,64.01%,17.93%,12.69%,19.09%,12.35%,-47.25%,-36.30%,-29.82%,-9.49%,-6.88%,2.84,0.71,200,175,8,0.04
0064,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 42952496,TRUE,26.32%,-46.29%,0.57,13.83,321,50.16%,26.52%,66.99%,14.21%,252.47,81.01,2.77,19.82%,2.02,97.70%,134.34%,97.73%,144.57%,45.27%,13.26%,12.96%,16.89%,10.96%,-46.29%,-34.97%,-32.37%,-9.89%,-6.86%,2.66,0.69,225,200,10,0.035
0058,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 26786916,TRUE,24.03%,-42.32%,0.57,14.02,356,50.56%,20.82%,54.46%,13.58%,224.76,67.3,2.41,18.79%,1.91,97.84%,127.19%,97.88%,142.53%,54.61%,15.63%,12.42%,13.67%,8.92%,-42.32%,-32.30%,-31.35%,-10.24%,-7.64%,2.35,0.68,200,175,10,0.035
0128,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 32517759,TRUE,24.96%,-44.36%,0.56,13.98,358,50.56%,21.19%,56.60%,15.03%,215.81,76.37,2.24,20.59%,1.83,98.12%,131.71%,98.16%,153.25%,42.82%,12.61%,10.31%,13.77%,8.98%,-44.36%,-35.65%,-28.86%,-9.97%,-7.44%,2.5,0.69,200,150,8,0.04
0093,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 15482800,TRUE,21.47%,-38.19%,0.56,14.26,371,49.60%,18.13%,49.56%,12.80%,212.45,68.55,2.55,17.93%,1.79,95.60%,133.31%,95.65%,148.69%,62.51%,17.57%,10.26%,16.36%,10.63%,-38.19%,-34.12%,-31.72%,-10.52%,-8.24%,2.04,0.62,200,225,11,0.035
0015,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 26956760,TRUE,24.16%,-43.16%,0.56,16.1,278,54.68%,29.08%,66.17%,15.66%,278.82,86.71,3.3,18.45%,1.96,95.96%,125.33%,95.99%,141.19%,72.31%,19.89%,17.35%,21.95%,14.15%,-43.16%,-35.97%,-35.35%,-11.54%,-7.78%,2.09,0.63,250,200,8,0.035
0068,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 18580350,TRUE,22.32%,-39.94%,0.56,13.21,372,50.00%,18.54%,49.79%,12.70%,212.04,68.23,2.62,18.20%,1.83,96.11%,133.31%,96.16%,148.69%,60.88%,17.17%,10.57%,17.09%,11.09%,-39.94%,-31.51%,-28.83%,-9.81%,-8.07%,2.28,0.67,200,225,10,0.035
0089,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 29137282,TRUE,24.45%,-43.77%,0.56,14.21,324,50.62%,24.04%,61.60%,14.45%,248.29,80.63,2.53,19.63%,1.9,97.80%,134.34%,97.83%,141.99%,44.54%,13.06%,8.14%,15.37%,10.00%,-43.77%,-33.57%,-32.37%,-10.47%,-7.88%,2.33,0.67,225,200,11,0.035
0083,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 28288166,TRUE,24.28%,-44.18%,0.55,14.52,347,51.87%,21.99%,55.45%,14.08%,225.44,68.67,2.24,18.25%,1.99,96.89%,131.72%,96.94%,146.97%,44.60%,13.08%,11.17%,11.88%,7.77%,-44.18%,-29.18%,-26.12%,-10.32%,-7.05%,2.35,0.73,200,175,11,0.035
0065,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 22555248,TRUE,23.31%,-42.60%,0.55,15.73,291,53.61%,26.77%,63.69%,15.88%,266.01,87.16,2.83,18.86%,1.85,96.17%,128.37%,96.20%,142.57%,63.04%,17.70%,13.70%,19.42%,12.56%,-42.60%,-37.59%,-35.61%,-11.37%,-7.93%,2.05,0.6,250,200,10,0.035
0040,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 23900149,TRUE,23.58%,-43.16%,0.55,15.85,288,53.82%,27.35%,64.13%,15.52%,271.87,85.41,3.07,18.76%,1.88,96.03%,126.89%,96.06%,140.85%,65.27%,18.23%,14.90%,20.21%,13.05%,-43.16%,-37.18%,-35.61%,-11.51%,-8.28%,2.05,0.61,250,200,9,0.035
0049,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 19465757,TRUE,22.53%,-41.84%,0.54,15.69,340,48.24%,21.39%,59.24%,13.88%,250.65,72.57,2.65,18.94%,1.79,97.34%,132.10%,97.36%,139.99%,66.47%,18.52%,14.87%,17.64%,11.44%,-41.84%,-40.58%,-32.76%,-11.53%,-8.90%,1.96,0.59,225,250,9,0.035
0043,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 23102609,TRUE,23.35%,-43.42%,0.54,13.96,380,48.95%,19.12%,52.06%,12.45%,211.01,66.71,2.67,18.30%,1.89,96.45%,128.79%,96.50%,143.71%,52.94%,15.21%,12.96%,17.17%,11.14%,-43.42%,-31.51%,-28.83%,-10.16%,-7.86%,2.3,0.68,200,225,9,0.035
0020,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 38319930,TRUE,25.85%,-48.27%,0.54,14.6,286,54.55%,29.90%,67.93%,15.72%,274.51,86.02,3,18.80%,2.03,97.86%,138.64%,97.88%,149.21%,73.10%,20.07%,18.34%,20.76%,13.40%,-48.27%,-33.27%,-30.33%,-10.08%,-6.15%,2.56,0.69,250,225,8,0.035
0135,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 44726523,TRUE,26.63%,-49.84%,0.53,17.68,289,52.94%,33.53%,77.57%,16.01%,265.42,100.35,3.09,23.04%,1.78,97.86%,136.66%,97.88%,148.75%,73.85%,20.24%,14.40%,17.92%,11.61%,-49.84%,-38.07%,-37.44%,-13.04%,-10.00%,2.04,0.64,250,175,8,0.04
0018,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 21151565,TRUE,22.93%,-43.42%,0.53,14.47,382,47.64%,18.82%,53.51%,12.75%,210.97,68.55,2.45,19.00%,1.81,96.71%,129.25%,96.76%,146.52%,45.83%,13.40%,11.56%,16.08%,10.45%,-43.42%,-31.51%,-30.75%,-10.64%,-8.17%,2.16,0.65,200,225,8,0.035
0119,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 38576661,TRUE,25.80%,-48.90%,0.53,15.96,334,49.70%,23.97%,62.34%,13.94%,254.24,70.66,2.54,19.77%,1.94,98.62%,128.99%,98.65%,139.97%,56.41%,16.08%,10.17%,16.91%,10.98%,-48.90%,-33.23%,-33.18%,-11.10%,-7.10%,2.32,0.67,225,225,12,0.035
0045,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 34213513,TRUE,25.30%,-48.27%,0.52,14.4,284,53.87%,28.99%,67.00%,15.41%,275.73,87.74,2.91,18.92%,1.98,97.84%,134.45%,97.86%,152.77%,57.49%,16.35%,15.05%,19.07%,12.34%,-48.27%,-35.62%,-33.20%,-9.80%,-6.08%,2.58,0.65,250,225,9,0.035
0078,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 39095105,TRUE,25.85%,-49.54%,0.52,14.26,345,53.62%,23.42%,56.38%,14.68%,220.89,72.26,2.6,18.47%,2.07,96.70%,133.14%,96.76%,147.99%,76.02%,20.74%,15.55%,16.59%,10.77%,-49.54%,-28.69%,-27.50%,-9.85%,-6.47%,2.62,0.73,200,150,11,0.035
0109,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 23678241,TRUE,23.44%,-45.10%,0.52,16.11,316,51.58%,23.09%,59.52%,15.72%,253.95,78.42,2.55,18.78%,1.91,97.81%,133.63%,97.85%,144.67%,46.45%,13.56%,11.01%,16.21%,10.53%,-45.10%,-39.38%,-30.41%,-11.69%,-8.72%,2,0.61,225,175,12,0.035
0090,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 17784906,TRUE,22.19%,-43.09%,0.51,14.13,295,52.54%,25.23%,62.86%,16.43%,266.41,85.32,2.37,19.09%,1.75,96.70%,129.14%,96.73%,140.86%,49.50%,14.34%,10.47%,16.34%,10.62%,-43.09%,-35.61%,-32.50%,-10.20%,-7.34%,2.18,0.6,250,200,11,0.035
0024,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 19492726,TRUE,22.54%,-43.98%,0.51,15.8,344,48.26%,21.35%,59.12%,13.87%,246.72,72.81,2.37,18.76%,1.81,97.75%,132.51%,97.78%,140.39%,49.02%,14.22%,12.55%,16.06%,10.44%,-43.98%,-34.32%,-34.16%,-11.54%,-9.30%,1.95,0.6,225,250,8,0.035
0104,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 23223412,TRUE,23.36%,-45.80%,0.51,15.42,335,48.66%,22.21%,62.38%,15.85%,245.71,80.59,2.18,19.84%,1.81,99.74%,138.88%,99.79%,143.99%,44.51%,13.06%,10.62%,11.28%,7.38%,-45.80%,-35.03%,-31.20%,-11.09%,-7.46%,2.11,0.63,225,150,12,0.035
0009,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 31059467,TRUE,24.73%,-48.94%,0.51,14.81,328,51.22%,23.04%,58.79%,14.48%,247.98,76.52,2.46,19.35%,1.94,99.30%,135.43%,99.34%,141.98%,32.25%,9.76%,10.00%,16.18%,10.52%,-48.94%,-36.69%,-27.75%,-10.31%,-6.87%,2.4,0.65,225,175,8,0.035
0115,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6692,AUD 15001238,TRUE,21.39%,-43.09%,0.5,15.36,293,53.58%,24.50%,60.09%,16.57%,262.88,87.8,2.38,18.78%,1.73,96.55%,130.34%,96.58%,136.15%,47.83%,13.92%,11.31%,16.49%,10.71%,-43.09%,-34.90%,-30.84%,-11.11%,-8.07%,1.93,0.59,250,200,12,0.035
0038,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 23801305,TRUE,23.49%,-47.42%,0.5,15.92,368,48.91%,21.28%,57.07%,12.98%,217.72,69.28,2.32,18.77%,1.89,96.35%,139.24%,96.40%,145.00%,55.35%,15.82%,9.95%,13.82%,9.02%,-47.42%,-34.97%,-33.01%,-11.58%,-8.18%,2.03,0.61,200,200,9,0.035
0074,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 23090402,TRUE,23.34%,-47.27%,0.49,15.54,339,48.38%,21.89%,60.11%,13.93%,251.13,72.94,2.55,19.19%,1.82,97.59%,132.10%,97.61%,140.00%,54.96%,15.72%,12.13%,18.20%,11.80%,-47.27%,-35.70%,-32.01%,-11.14%,-7.85%,2.1,0.61,225,250,10,0.035
0094,newStrat Backtest Stats,1991/01/02 - 2018/12/31,6717,AUD 22569505,TRUE,23.24%,-47.73%,0.49,15.87,344,47.97%,21.43%,60.18%,14.30%,249.54,70.85,2.31,18.95%,1.83,98.29%,129.01%,98.32%,139.97%,45.60%,13.34%,11.59%,16.08%,10.45%,-47.73%,-35.41%,-33.23%,-11.43%,-8.22%,2.03,0.6,225,225,11,0.035
